EventTime,Operation,Success,Username,Database,Schema,Table,Statement
2025-12-03 16:09:44.635059,DELETE,True,SUNDER\santana,Atelier,dbo,Orders,"DELETE FROM dbo.Orders
WHERE OrderID = (SELECT TOP 1 OrderID FROM dbo.Orders ORDER BY OrderDate DESC)"
2025-12-03 16:09:44.528962,SELECT,True,SUNDER\santana,Atelier,dbo,Customers,"UPDATE dbo.Customers
SET Address = '123 Updated Street'
WHERE CustomerID = 1"
2025-12-03 16:09:44.528962,UPDATE,True,SUNDER\santana,Atelier,dbo,Customers,"UPDATE dbo.Customers
SET Address = '123 Updated Street'
WHERE CustomerID = 1"
2025-12-03 15:56:13.248427,SELECT,True,atelier_admin,Atelier,dbo,Customers,SELECT COUNT(*) FROM Customers
2025-12-03 08:10:30.095895,SELECT,True,tailor_user,Atelier,dbo,Customers,select * from Customers
2025-12-03 08:10:12.283636,SELECT,True,tailor_user,Atelier,dbo,Customers,select * from Customers
2025-12-03 08:09:08.502169,SELECT,True,tailor_user,Atelier,dbo,Customers,"SELECT TOP 5
        CustomerID,
        CustomerName,
        Phone,
        Address
    FROM Customers
    ORDER BY CustomerID"
2025-12-03 06:50:14.519770,SELECT,True,atelier_admin,Atelier,dbo,Customers,"SELECT TOP 5
        c.CustomerID,
        c.CustomerName,
        COUNT(o.OrderID) AS OrderCount
    FROM Customers c
    LEFT JOIN Orders o ON c.CustomerID = o.CustomerID
    GROUP BY c.CustomerID, c.CustomerName
    HAVING COUNT(o.OrderID) = 0"
2025-12-03 06:50:14.498429,SELECT,True,atelier_admin,Atelier,dbo,Customers,"SELECT TOP 10
        c.CustomerID,
        c.CustomerName,
        COUNT(o.OrderID) AS ActiveOrders,
        MAX(o.OrderDate) AS LastOrderDate
    FROM Customers c
    LEFT JOIN Orders o ON c.CustomerID = o.CustomerID
    GROUP BY c.CustomerID, c.CustomerName
    HAVING COUNT(o.OrderID) > 0
    ORDER BY COUNT(o.OrderID) DESC"
2025-12-03 06:48:42.639868,SELECT,True,atelier_admin,Atelier,dbo,Customers,"SELECT TOP 5
        c.CustomerID,
        c.CustomerName,
        COUNT(o.OrderID) AS OrderCount
    FROM Customers c
    LEFT JOIN Orders o ON c.CustomerID = o.CustomerID
    GROUP BY c.CustomerID, c.CustomerName
    HAVING COUNT(o.OrderID) = 0"
